"%s codes deleted","%s códigos deletados"
"%s codes imported","%s códigos importados"
"%s codes not imported","%s códigos não foram importados"
"%s product in feed.","%s produto(s) no feed."
"%s product not in feed.","%s produtos não incluídos no feed."
"Add new","Adicionar Novo"
"Attrib. Set Name","Attrib. Set Name"
"Attributes map","Mapa de Atributos"
"Cron Frequency","Frequência via Cron"
"Cron Hour","Cron Hour"
"Delete","Deletar"
"Eav code","Código EAV"
"FTP Password","Senha do FTP"
"FTP Path","Camiho do FTP"
"FTP Server","Servidor FTP"
"FTP Settings","Configurações de FTP"
"FTP User","Usuário do FTP"
"FTP: Can't delete files","FTP: Impossível deletar os arquivos"
"Feed","Feed"
"Feed code","Código do Feed"
"ID","ID"
"Import","Importar"
"Import attribute map","Importar mapa de atributos"
"Import code","Código de Importação"
"In feed","No feed"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Para poder ter acesso aos seus dados de FTP, você deve primeiro registrar a sua loja no TheFild Merchant Center.  Clique <a href=""https://merchant.thefind.com/mc/claim.fhtml"">aqui</a> para maiores informações."
"Is imported","Is imported"
"Item params","Parametros de Item"
"Manage attributes","Gerenciar Atributos"
"Manage items","Gerenciar Itens"
"Not import","Não Importar"
"Not publish","Não Publicar"
"Price","Preço"
"Product Name","Nome do Produto"
"Product import","Importar Produto"
"Publish","Publicar"
"SKU","SKU"
"Settings","Configurações"
"The Find","The Find"
"TheFind Feed Filename","Nome do Arquivo do Feed TheFind"
"TheFind feed","Feed TheFind"
"Type","Tipo"
"Unable to process an import. ","Impossível executar a importação. "
"Update TheFind Item when Product is Updated","Atualizar o Item no TheFind quando o Produto for Atualizado"
