"Actions","Ações"
"Add Answer","Adicionar Resposta"
"Add New Answer","Adicionar Nova Resposta"
"Add New Poll","Adicionar Nova Enquete"
"Answer Title","Título da Resposta"
"Answer Title:","Título da Resposta:"
"Answer with the same title in this poll","Resposta com o mesmo título nessa enquete"
"Are you sure you want to delete it?","Você tem certeza que deseja deleta-la?"
"Assigned Answers","Respostas Associadas"
"Closed","Fechada"
"Community Poll","Enquete da Comunidade"
"Date Closed","Data do Fechamento"
"Date Posted","Data da Postagem"
"Delete","Deletar"
"Delete Answer","Deletar Resposta"
"Delete Poll","Deletar Enquete"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Impedir Múltiplos Votos Vindos do Mesmo IP"
"Edit Answer '%s'","Editar Resposta '%s'"
"Edit Poll '%s'","Editar Enquete '%s'"
"Edit Poll Answer","Editar Resposta da Enquete"
"ID","ID"
"Invalid Answer.","Resposta Inválida."
"New Poll","Nova Enquete"
"Number of Responses","Numero de Respostas"
"Open","Abrir"
"Poll Answers","Respostas da Enquete"
"Poll Information","Informações da Enquete"
"Poll Manager","Gerenciamento de Enquetes"
"Poll Question","Questão da Enquete"
"Poll information","Informações da enquete"
"Poll with the same question","Enquete com a mesma questão"
"Polls","Enquetes"
"Save Answer","Salvar Resposta"
"Save Poll","Salvar Enquete"
"Status","Status"
"The answer has been saved.","A resposta foi salva com sucesso."
"The poll does not exist.","A enquete não existe."
"Unable to find an answer to delete.","Impossível encontrar a resposta a ser deletada."
"Visible In","Visívem Em"
"Vote","Votar"
"Votes Count","Contagem de Votos"
"Votes Count:","Contagem de Votos:"
