"Add Recipient","Adicionar Destinatário"
"Allow for Guests","Permitir para Visitantes"
"An invalid email address for recipient was entered.","Um endereço de email de destinatário inválido foi especificado."
"At least one recipient must be specified.","Pelo menos um destinatário deve ser especificado."
"Back","Voltar"
"Catalog Product Email to a Friend","Enviar para um Amigo - Produto do Catálogo"
"Email Address","Endereço de Email"
"Email Address:","Endereço de Email:"
"Email Templates","Templates de Email"
"Email to a Friend","Enviar para um Amigo"
"Email:","Email:"
"Enabled","Ativado"
"Invalid Sender Information","Informação de Remetente Inválida"
"Invalid sender email.","Email de remetente inválido."
"Limit Sending By","Limitar o Envio Por"
"Max Products Sent in 1 Hour","Máximo de Produtos a Serem Enviados em 1 Hora"
"Max Recipients","Máximo de Destinatários"
"Maximum %d email addresses allowed.","O número máximo de endereços de email permitidos é %d."
"Message:","Mensagem:"
"Name","Nome"
"Name:","Nome:"
"No more than %d emails can be sent at a time.","O número máximo de emails que pode ser enviado de uma única vez é %d."
"Please define a correct Cookie instance.","Por favor defina uma instância correta de Cookie."
"Please define a correct Product instance.","Por favor defina uma instância correta de Produto."
"Please define the correct Sender information.","Por favor defina a informação correta de Remetente."
"Recipient:","Destinatário:"
"Remove Email","Remover Email"
"Select Email Template","Selecione um Template de Email"
"Send Email","Enviar Email"
"Send product to a friend","Enviar produto para um amigo"
"Sender:","Remetente:"
"Some emails were not sent.","Alguns emails não foram enviados."
"The link to a friend was sent.","O link para um amigo foi enviado."
"The message cannot be empty.","A mensagem não pode ser vazia."
"The messages cannot be sent more than %d times in an hour","As mensagens não podem ser enviadas mais do que %d vezes em uma hora"
"The sender name cannot be empty.","O nome do remetente não pode ser vazio."
"There were some problems with the data.","Houveram problemas com os dados."
"You have exceeded limit of %d sends in an hour","Você excedeu o limite de %d envios em uma hora"
"There was some error processing your request.","Por favor insira um email válido"
