"%s Item(s)","%s Item(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Loja Demo Magento. Todos os Direitos Reservados."
"(Shift-)Click or drag to change value","(Shift-)Click ou arraste para alterar o valor"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Clique em qualquer uma das partes para aumenta-la"
"- Hold mouse button on any of the above buttons for faster selection.","- Segure o botão do mouse em qualquer um dos botões acima para selecionar mais rapidamente."
"- Use the %s buttons to select month","- Use os botões %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use os botões %s, %s para selecionar o ano"
"- or Shift-click to decrease it","- ou Shift-click para decrementar"
"- or click and drag for faster selection.","- ou clique e arraste para selecionar mais rapidamente."
"-- Please Select --","-- Favor Selecionar --"
"1 column","Uma coluna"
"2 columns with left bar","Duas colunas com barra &#224; esquerda"
"2 columns with right bar","Duas colunas com barra &#224; direita"
"3 columns","Três colunas"
"About the calendar","Sobre o calendário"
"All Empty Layout Pages","Todas as Páginas de Layout Vazio"
"All One-Column Layout Pages","Todas as Páginas de Layout de Uma Coluna"
"All Pages","Todas as Páginas"
"All Pages (Print Version)","Toda as Páginas (Versão para Impressão)"
"All Three-Column Layout Pages","Todas as Páginas de Layout de Três Colunas"
"All Two-Column Layout Pages (Left Column)","Todas as Páginas de Layout de Duas Colunas (Coluna &#224; Esquerda)"
"All Two-Column Layout Pages (Right Column)","Todas as Páginas de Layout de Duas Colunas (Coluna &#224; Direita)"
"Breadcrumbs","Breadcrumbs"
"Click <a href=""%s"">here</a> if nothing has happened","Clique <a href=""%s"">aqui</a> se nada acontecer"
"Close","Fechar"
"Checkout","Finalizar Compra"
"Close Window","Fechar Janela"
"DHTML Date/Time Selector","Seletor de Data/Hora em DHTML"
"Date selection:","Seleção de data:"
"Default Description","Descrição Padrão"
"Default welcome msg!","Mensagem padrão de boas vindas!"
"Display %s first","Exibir o item %s primeiro"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob a licença GNU LGPL. Veja o item %s para maiores detalhes."
"Drag to move","Arraste para mover"
"Empty","Vazio"
"For latest version visit: %s","Para a última versão visite: %s"
"Free Shipping on orders over 50$","Frete grátis para pedidos acima de 50$"
"Go Today","Vá Hoje"
"Help Us to Keep Magento Healthy","Ajude-nos a manter a qualidade do Magento"
"Interface Language","Língua da Interface"
"Items %s to %s of %s total","Itens de %s até %s de um total de %s"
"JavaScript seem to be disabled in your browser.","Aparentemente o JavaScript do seu browser está desativado."
"Left Column","Coluna Esquerda"
"Main Content Area","área do Conteúdo Principal"
"Navigation Bar","Barra de Navegação"
"Next","Próximo"
"Next month (hold for menu)","Próximo mês (mantenha pressionado para ver o menu)"
"Next year (hold for menu)","Próximo ano (mantenha pressionado para ver o menu)"
"Page Bottom","Final da Página"
"Page Footer","Rodapé da Página"
"Page Header","Cabeçalho da Página"
"Page Top","Topo da Página"
"Page:","Página:"
"Prev. month (hold for menu)","Mês ant. (mantenha pressionado para ver o menu)"
"Prev. year (hold for menu)","Ano ant.(mantenha pressionado para ver o menu)"
"Previous","Anterior"
"Redirecting...","Redirecionando..."
"Report All Bugs","Reporte Todos os Bugs"
"Right Column","Coluna Direita"
"Select Store","Selecione a Loja"
"Select Store:","Selecione a Loja:"
"Select date","Selecione a data"
"Show","Mostrar"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Essa é uma loja de demonstração. Todos os pedidos realizados através dessa loja não serão processados ou entregues"
"Time selection:","Seleção de Hora:"
"Time:","Hora:"
"Welcome, %s!","Bem Vindo, %s!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","O JavaScript do seu browser deve estar ativo para que você possa usar essa funcionalidade desse site."
"Your Language","Sua Língua"
"Your Language:","Sua Língua:"
"per page","por página"
