"Alert Email Sender","Enviador de Emails de Alerta"
"Alert subscription has been saved.","Assinatura de Alerta salva com sucesso."
"Allow Alert When Product Comes Back in Stock","Permitir Alertas Quando Produtos Voltarem ao Estoque"
"Allow Alert When Product Price Changes","Permitir Alertas Quando o Preço de um Produto Mudar"
"Click here not to receive alerts for this product","Clique aqui para não receber alertas para esse produto"
"Error Email Recipient","Destinatário do Email de Erros"
"Error Email Sender","Remetente do Email de Erros"
"Error Email Template","Template do Email de Erros"
"Frequency","Frequência"
"Not enough parameters.","Parâmetros insuficientes."
"Price Alert Email Template","Template de Email de Alerta de Preço"
"Price:","Preço:"
"Product Alerts","Alertas de Produto"
"Product Alerts Run Settings","Configurações de Execução de Alertas de Produto"
"Product alerts Cron error","Erro de Cron nos alertas de produto"
"Product price alert","Alerta de preço de produto"
"Product stock alert","Alerta de estoque de produto"
"Regular Price:","Preço Normal:"
"Sign up for price alert","Assine o alerta de preço"
"Sign up to get notified when this product is back in stock","Assine e seja notificado quando esse produto estiver voltar ao estoque"
"Special price:","Preço especial:"
"Start Time","Hora de Início"
"Stock Alert Email Template","Template de Email do Alerta de Estoque"
"The alert subscription has been deleted.","A assinatura do alerta foi deletada com sucesso."
"The alert subscription has been saved.","A assinatura do alerta foi salva com sucesso."
"The product is not found.","O produto não foi encontrado."
"The product was not found.","O produto não foi encontrado."
"Unable to update the alert subscription.","Impossível atualizar a assinatura do alerta."
"Unsubscribe from all price alerts","Cancelar a assinatura de todos os alertas de preço"
"Unsubscribe from all stock alerts","Cancelar a assinatura de todos os alertas de estoque"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Você está recebendo essa notificação porque você assinou um alerta de retorno ao estoque para os seguintes produtos:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Você está recebendo essa notificação porque você assinou um alerta de alteração de preço para os seguintes produtos:"
"You will no longer receive price alerts for this product.","Você não irá mais receber alertas de preço para esse produto."
"You will no longer receive stock alerts for this product.","Você não irá mais receber alertas de estoque para esse produto."
"You will no longer receive stock alerts.","Você não irá mais receber alertas de estoque."
