"Action","Ação"
"An error occurred while writing to the backup file ""%s"".","Ocorreu um erro ao tentar gravar os dados no arquivo de backup ""%s""."
"Backup file ""%s"" cannot be read from or written to.","Impossível ler ou gravar dados no arquivo de backup ""%s""."
"Backup file ""%s"" does not exist.","O arquivo de backup ""%s"" não existe."
"Backup file does not exist.","O arquivo de backup não existe."
"Backup file handler was unspecified.","O handler do arquivo de backup não foi especificado."
"Backup file path was not specified.","O caminho do arquivo de backup não foi especificado."
"Backups","Backups"
"Cannot read backup file.","Impossível ler o arquivo de backup."
"Create Backup","Criar Backup"
"DB","DB"
"Database was successfuly backed up.","O backup do Banco de Dados foi realizado com sucesso."
"Download","Download"
"Size, Bytes","Tamnho, Bytes"
"The file was compressed with Zlib, but this extension is not installed on server.","O arquivo foi compactado com a extensão Zlib, porém a mesma não está instalada no seu servidor."
"Time","Hora"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Impossível criar backup. Por favor, tente novamente mais tarde."
"Wrong order of creation for new backup.","Ordem de criação de novo backup errada."
