"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","Validação de Cartão 3D Secure"
"3D Secure Cardholder Validation","Validação 3D Secure de Titular do Cartão"
"3D Secure Electronic Commerce Indicator","Indicador de Comércio Eletrônico 3D Secure"
"3D Secure Verification Result","Resultado da Verificação 3D Secure"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Responsabilidade do Emissor do Cartão"
"Card Verification","Verificação de Cartão"
"Enrolled","Inscrito"
"Enrolled but Authentication Unavailable","Inscrito mas com Autenticação Indisponível"
"Failed","Falhou"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Responsabilidade do Comerciante"
"Not Enrolled","Não Inscrito"
"Order cannot be placed.","O pedido não pode ser realizado."
"Payment information error. Please start over.","Erro com os dados de pagamento. Por favor comece novamente"
"Please continue with placing order.","Por favor continue com a realização do seu pedido."
"Please verify the card with the issuer bank before placing the order.","Por favor verifique o cartão com o banco emissor antes de realizar o seu pedido."
"Please verify the card with the issuer bank:","Por favor verifique o cartão com o banco emissor:"
"Start/Reset Validation...","Iniciar/Resetar Validação..."
"Successful","Sucesso"
"Successful attempt","Tentativa bem sucedida"
"The card has failed verification with the issuer bank.","A verificação do cartão no banco emissor falhou."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Existem dados errados nas informações de pagamento ou o tempo limite de envio expirou. Tente novamente."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Existem dados errados nas informações de pagamento ou o tempo limite de envio expirou. Tente novamente."
"This card has failed validation and cannot be used.","Esse cartão não passou na verificação e não poderá ser usado nessa compra."
"This card has failed validation, but it is possible to place the order.","O cartão não passou na verificação, porém poderá ser utilizado nesse pedido."
"To ensure the security of your transactions","Para garantir a segurança de suas transações"
"Unable to complete","Impossível completar"
"Validation failed.","Falha na Validação."
"Verification Failed","A verificação falhou"
"Verification Successful","Verificação realizada com sucesso"
"Verification cannot be processed","A verificação não pode ser processada"
"Verified by Visa","Verified by Visa"
