"Add Amount","Adicionar Quantia"
"All Websites","Todos os Websites"
"Allow Gift Message","Permitir Mensagem de Presente"
"Allow Message","Permitir Mensagem"
"Amount","Quantia"
"Amount in %s","Quantia em %s"
"An error has occurred while preparing Gift Card.","Ocorreu um erro ao preparar o Cartão de Presente."
"Card Type","Tipo de Cartão"
"Catalog Product View (Gift Card)","View de Produto do Catálogo (Cartão de Presente)"
"Choose an Amount...","Escolha um Valor..."
"Combined","Combinado"
"Delete","Deletar"
"Delete Amount","Deletar Quantia"
"Email Template","Template de Email"
"Entered amount is too high","A quantia digitada é muito alta"
"Entered amount is too low","A quantia digitada é muito baixa"
"From","De"
"Generate Gift Card Account when Order Item is","Gerar uma Conta de Cartão de Presenta Quando o Item do Pedido for"
"Gift Card","Cartão de Presente"
"Gift Card Accounts","Contas de Cartão de Presente"
"Gift Card Accounts Generated From Gift Card","Contas de Cartão de Presente Geradas a Partir de Cartões de Presente"
"Gift Card Email Settings","Configurações de Email de Cartão de Presente"
"Gift Card General Settings","Configurações Gerais de Cartão de Presente"
"Gift Card Information","Informações de Cartão de Presente"
"Gift Card Is Redeemable","O Cartão de Presente é Resgatável"
"Gift Card Lifetime","Validade do Cartão de Presente"
"Gift Card Message","Mensagem do Cartão de Presente"
"Gift Card Notification Email Sender","Remetente do Email de Notificação do Cartão de Presente"
"Gift Card Notification Email Template","Template do Email de Notificação do Cartão de Presente"
"Gift Card Recipient","Destinatário do Cartão de Presente"
"Gift Card Sender","Remetente do Cartão de Presente"
"Gift Card Type","Tipo de Cartão de Presente"
"Gift Card max amount is %s","O valor máx de Cartão de Presente é %s"
"Gift Card min amount is %s","O valor mín de Cartão de Presente é %s"
"Gift Message Maximum Length","Comprimento Máximo da Mensagem de Presente"
"If empty no expiration.","Se deixado vazio o cartão não terá prazo de vencimento."
"Invoiced","Faturado"
"Is Redeemable","É Resgatável"
"Lifetime (days)","Validade (dias)"
"Maximum length of the message is %d characters.","O comprimento máximo da mensagem é de %d caracteres."
"Maximum: %s","Máximo: %s"
"Message","Mensagem"
"Minimum: %s","Mínimo: %s"
"N/A","N/D"
"No","Não"
"Ordered","Comprado"
"Other Amount...","Outro Valor..."
"Physical","Físico"
"Please specify Gift Card amount.","Por favor especifique o valor do Cartão de Presente."
"Please specify all the required information.","Por favor especifique todas as informações obrigatórias."
"Please specify recipient email.","Por favor especifique o email do destinatário."
"Please specify recipient name.","Por favor especifique o nome do destinatário."
"Please specify sender email.","Por favor especifique o email do remetente."
"Please specify sender name.","Por favor especifique o nome do remetente."
"Quantity","Quantidade"
"Recipient Email","Email do Destinatário"
"Recipient Name","Nome do Destinatário"
"Redeemable","Resgatável"
"Sender Email","Email do Remetente"
"Sender Name","Nome do Remetente"
"Some of Gift Card Accounts were not generated properly. You can create Gift Card Accounts manually <a href=""%s"">here</a>.","Algumas das contas de Cartão de Presnete não foram geradas corretamente. Você pode criar contas de Cartão de Presente manualmente <a href=""%s"">aqui</a>."
"Unable to create.","Impossível criar."
"Up To","Até"
"Use Config Settings","Usar Definições de Configuração"
"Virtual","Virtual"
"Yes","Sim"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[VIEW DA LOJA]"
