"A block identifier with the same properties already exists in the selected store.","Um identificador de bloco com as mesmas propriedades já existe na loja selecionada."
"A directory with the same name already exists. Please try another folder name.","Um diretório com o mesmo nome já existe. Por favor, use um nome diferente."
"A page URL key for specified store already exists.","Uma key de página URL para a loja especificada já existe."
"Action","Ação"
"Add New Block","Adicionar Novo Bloco"
"Add New Page","Adicionar Nova Página"
"All Countries","Todos os Países"
"An error occurred while saving the page.","Ocorreu um erro ao salvar a página."
"Anchor Custom Text","Texto Anchor Customizado"
"Anchor Custom Title","Título Anchor Customizado"
"Are you sure you want to delete current folder?","Você tem certeza que deseja deletar a pasta atual?"
"Are you sure you want to delete the selected file?","Você tem certeza que deseja deletar o arquivo selecionado?"
"Block","Bloco"
"Block Information","Informações do Bloco"
"Block Title","Título do Bloco"
"CMS","CMS"
"CMS Content Wrapper","Wrapper do Conteúdo CMS"
"CMS Home Page","Home Page CMS"
"CMS No Cookies Page","Página CMS 'No Cookies'"
"CMS No Route Page","Página CMS 'No Route'"
"CMS No-Route Page","Página CMS 'No-Route'"
"CMS Page","Página CMS"
"CMS Page Link","Link da Página CMS"
"CMS Page Link Block Template","Template em Bloco do Link da Página CMS"
"CMS Page Link Inline Template","Template Inline do Link da Página CMS"
"CMS Pages (All)","Páginas CMS (Todas)"
"CMS Static Block","Bloco Estático CMS"
"CMS Static Block Default Template","Template Default do Bloco Estático CMS"
"Cannot create new directory.","Impossível criar novo diretório."
"Cannot delete directory %s.","Impossível deletar o diretório %s."
"Cannot delete root directory %s.","Impossível deletar o diretório raiz %s."
"Cannot upload file.","Impossível fazer upload do arquivo."
"Collapse All","Esconder Todas"
"Content","Conteúdo"
"Content Heading","Cabeçalho do Conteúdo"
"Content Management","Gerenciamento de Conteúdo"
"Contents of a Static Block","Conteúdos de um Bloco Estático"
"Create Folder...","Criar Pasta..."
"Custom Design","Design Customizado"
"Custom Design From","Formulário de Design Customizado"
"Custom Design To","Design Customizado Até"
"Custom Layout","Layout Customizado"
"Custom Layout Update XML","XML de Atualização de Layout Customizado"
"Custom Theme","Tema Customizado"
"Customer Tax Class Information","Informações sobre Classe de Imposto do Cliente"
"Date Created","Data de Criação"
"Delete Block","Deletar Bloco"
"Delete File","Deletar Arquivo"
"Delete Folder","Deletar Pasta"
"Delete Page","Deletar Página"
"Description","Descrição"
"Design","Design"
"Disabled","Desativado"
"Disabled Completely","Completamente Desativado"
"Disabled by Default","Desativado por Padrão"
"Edit Block","Editar Bloco"
"Edit Block '%s'","Editar Bloco '%s'"
"Edit Page","Editar Página"
"Edit Page '%s'","Editar Página '%s'"
"Enable WYSIWYG Editor","Ativar Editor WYSIWYG"
"Enabled","Ativado"
"Enabled by Default","Ativado por Padrão"
"Expand All","Mostrar Todos"
"General Information","Informações Gerais"
"Go to Home Page","Ir para a Página Inicial"
"Home","Home"
"ID","ID"
"Identifier","Identificador"
"If empty, the Page Title will be used","Se deixado vazio, o Título da Página será usado"
"Images (%s)","Imagens (%s)"
"Insert File","Inserir Arquivo"
"Invalid folder name. Please, use alphanumeric characters, underscores and dashes.","Nome de pasta inválido. Por favor, use apenas caracteres alfanuméricos, underscores e traços."
"Keywords","Palavras Chave"
"Last Modified","Última Modificação"
"Layout","Layout"
"Layout Update XML","XML de Atualização de Layout"
"Link to a CMS Page","Linkar a uma Página CMS"
"Manage Pages","Gerenciar Páginas"
"Media Gallery","Galeria de Mídia"
"Media Storage","Armazenamento de Mídia"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"New Block","Novo Bloco"
"New Folder Name:","Nome da Nova Pasta:"
"New Page","Nova Página"
"No files found","Nenhum arquivo encontrado"
"Page Information","Informações da Página"
"Page Layout","Layout da Página"
"Page Status","Status da Página"
"Page Title","Título da Página"
"Pages","Páginas"
"Product Tax Class Information","Informações sobre Classe de Imposto do Produto"
"Redirect to CMS-page if Cookies are Disabled","Redirecionar para uma página CMS se os Cookies estiverem desativados"
"Relative to Website Base URL","Relativo a URL Base do Website"
"Save Block","Salvar Bloco"
"Save Page","Salvar Página"
"Save Process","Salvar Processo"
"Select Block...","Selecionar Bloco..."
"Select Page...","Selecionar Página..."
"Show Breadcrumbs for CMS Pages","Mostrar 'breadcrumbs' em Páginas CMS"
"Show Notice if JavaScript is Disabled","Mostrar Aviso se o JavaScript estiver desativado"
"Static Blocks","Blocos Estáticos"
"Status","Status"
"Storage Root","Raiz de Armazenamento"
"Store View","View da Loja"
"Template","Template"
"The block has been deleted.","O bloco foi deletado com sucesso."
"The block has been saved.","O bloco foi salvo com sucesso."
"The directory %s is not writable by server.","O servidor não possui permissões de escrita no diretório %s."
"The page URL key cannot consist only of numbers.","A chave URL da página não pode ser composta apenas de números."
"The page URL key contains capital letters or disallowed symbols.","A chave URL da página possui letras maiúsculas ou simbólos inválidos."
"The page has been deleted.","A página foi deletada com sucesso."
"The page has been saved.","A página foi salva com sucesso."
"The static block content cannot contain  directive with its self.","O conteúdo do bloco estático não pode conter diretivas que apontem para ele mesmo."
"This block no longer exists.","Esse bloco não existe mais."
"This page no longer exists.","Essa página não existe mais."
"Title","Título"
"URL Key","Chave URL"
"Unable to find a block to delete.","Impossível encontrar o bloco a ser deletado."
"Unable to find a page to delete.","Impossível encontrar a página a ser deletada."
"WYSIWYG Options","Opções WYSIWYG"
"px.","px."
