"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Rating","Adicionar Nova Avaliação"
"Assigned Options","Opções Associadas"
"Be the first to review this product",Seja o primeiro a avaliar esse produto"
"Default Value","Valor Padrão"
"Delete Rating","Deletar Avaliação"
"Edit Rating","Editar Avaliação"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Se você não especificar o título da avaliação para uma loja, o valor padrão será usado."
"Manage Ratings","Gerenciar Avaliações"
"New Rating","Nova Avaliação"
"Option Label","Rótulo da Opção"
"Option Title","Título da Opção"
"Option Title:","Título da Opção:"
"Please select one of each ratings above","Por favor selecione uma das avaliações acima"
"Rating Information","Informações da Avaliação"
"Rating Name","Nome da Avaliação"
"Rating Options","Opções de Avaliação"
"Rating Title","Título da Avaliação"
"Rating Visibility","Visibilidade da Avaliação"
"Rating isn't Available","Avaliação Indisponível"
"Rating with the same title","Avaliação com o mesmo título"
"Save Rating","Salvar Avaliação"
"Visible In","Visível Em"
